extra_lanes,mean_queue,mean_delay,p50_tt,p90_tt,spillback_freq,mainline_spillback_freq,side_spillback_freq,mainline_spill_extent,side_spill_extent,network_spill_extent,total_entered_veh,total_exited_veh
0,228.51051324977917,312.82167585794616,57.777924166627166,89.76881136211475,0.9879722222222224,0.873861111111111,0.9875277777777779,0.47922916666666665,0.8127430555555556,0.6459861111111111,12976.65,2631.223278498707
1,212.97406994220606,143.85222413498366,46.796786880433494,63.733954383957574,0.9956111111111111,0.6714166666666667,0.9875277777777779,0.3324444444444445,0.8127430555555556,0.57259375,12976.65,5331.381122758726
2,288.14290107650237,118.06640024924823,55.55173773541215,95.15401061633057,0.9969444444444445,0.7141944444444445,0.9875277777777779,0.3989027777777778,0.8127430555555556,0.6058229166666667,12976.65,8787.669837585116
3,543.486307632513,131.5830902057458,189.69236372053334,215.06632814840708,0.9985555555555556,0.9985555555555556,0.9875277777777779,0.52125,0.8127430555555556,0.6669965277777777,12976.65,14872.325463202267
4,663.0011777055873,125.91756765597026,272.6838781727673,311.08387816724405,0.9985833333333336,0.9985833333333336,0.9875277777777779,0.5212569444444445,0.8127430555555556,0.667,12976.65,18958.78463480231
