speed_delta_mph,mean_queue,mean_delay,p50_tt,p90_tt,spillback_freq,mainline_spillback_freq,side_spillback_freq,mainline_spill_extent,side_spill_extent,network_spill_extent,total_entered_veh,total_exited_veh
-20,131.50615269959067,464.01996492973797,545.2985307713188,578.9549063469337,0.9875277777777779,0.0,0.9875277777777779,0.0,0.8127430555555556,0.4063715277777778,12976.65,1022.0026172649347
-15,131.50615269959067,464.01996492973797,545.2985307713188,578.9549063469337,0.9875277777777779,0.0,0.9875277777777779,0.0,0.8127430555555556,0.4063715277777778,12976.65,1022.0026172649347
-10,131.50615269959067,464.01996492973797,545.2985307713188,578.9549063469337,0.9875277777777779,0.0,0.9875277777777779,0.0,0.8127430555555556,0.4063715277777778,12976.65,1022.0026172649347
-5,192.35780281420205,265.51979960684105,139.63451521099162,156.1765772260311,0.9875277777777779,0.820888888888889,0.9875277777777779,0.3147152777777778,0.8127430555555556,0.5637291666666666,12976.65,2609.5441378122564
0,228.51051324977917,312.82167585794616,57.777924166627166,89.76881136211475,0.9879722222222224,0.873861111111111,0.9875277777777779,0.47922916666666665,0.8127430555555556,0.6459861111111111,12976.65,2631.223278498707
5,230.07447597952415,314.00537037748535,43.04752830964557,59.21766885061438,0.9896666666666668,0.9299166666666666,0.9875277777777779,0.49979861111111107,0.8127430555555556,0.6562708333333334,12976.65,2639.234721709469
10,230.96584595751492,314.08191257889393,34.15930608048946,43.91610421685081,0.9903055555555553,0.9586388888888889,0.9875277777777779,0.512361111111111,0.8127430555555556,0.6625520833333333,12976.65,2648.77708605055
15,230.89759826826702,313.5473833821359,28.751612734172085,35.76097249555803,0.9939444444444444,0.9835,0.9875277777777779,0.6593055555555557,0.8127430555555556,0.7360243055555556,12976.65,2652.5000602844393
20,237.82377279250105,322.319419317167,24.74632117931343,28.63278465399381,0.9940277777777778,0.988583333333333,0.9875277777777779,0.7162986111111111,0.8127430555555556,0.7645208333333333,12976.65,2657.690163220027
