green_delta_s,extra_lanes,mean_queue,mean_delay,p50_tt,p90_tt,spillback_freq,mainline_spillback_freq,side_spillback_freq,mainline_spill_extent,side_spill_extent,network_spill_extent,total_entered_veh,total_exited_veh,mean_queue_ci_low,mean_queue_ci_high,mean_delay_ci_low,mean_delay_ci_high,p90_tt_ci_low,p90_tt_ci_high,spillback_ci_low,spillback_ci_high,sample_size,ci_level
-20.0,0,243.3465196627006,1357.476554105025,89.15906889701752,92.45412135619058,0.9893055555555555,0.9869722222222224,0.9883888888888887,0.9164513888888888,0.851076388888889,0.8837638888888888,12976.65,647.7608385150737,242.40565229455254,244.28738703084863,1317.030404774024,1397.9227034360258,92.12840684451272,92.77983586786844,0.9890573180848371,0.989553793026274,20,0.95
-20.0,1,469.9302579854706,1717.6058456072055,62.633390323981736,72.09481999153859,0.9919444444444444,0.9848333333333332,0.9883888888888887,0.9013263888888889,0.851076388888889,0.8762013888888888,12976.65,986.6828500973479,468.8780770716227,470.9824388993184,1683.0790906789543,1752.1326005354567,71.86616057630312,72.32347940677406,0.9915153925801072,0.9923734963087816,20,0.95
-20.0,2,699.1412070019995,1898.6580818456107,62.145881154266874,118.28859541191268,0.9942777777777778,0.9818611111111112,0.9883888888888887,0.9067291666666666,0.851076388888889,0.8789027777777777,12976.65,1327.1467343976822,697.961127972927,700.3212860310721,1868.100565866427,1929.2155978247945,115.73389112009627,120.84329970372909,0.9939236199753525,0.9946319355802031,20,0.95
-20.0,3,940.1344008367025,2032.2557151343517,154.43912490661918,251.35518561605008,0.9970833333333335,0.9816111111111111,0.9883888888888887,0.9372638888888888,0.851076388888889,0.894170138888889,12976.65,1666.7305376593044,938.1730008664798,942.0958008069252,2004.9790214728916,2059.532408795812,242.67616878235407,260.0342024497461,0.9962440711256425,0.9979225955410246,20,0.95
-10.0,0,238.4133400095603,603.0145061868594,89.09007851003135,90.6170204156668,0.9883888888888889,0.9791944444444445,0.9876666666666667,0.7681944444444445,0.8137986111111111,0.7909965277777778,12976.65,1424.6059743640758,237.43572578333576,239.39095423578485,593.6847009120327,612.3443114616862,90.18489562069796,91.04914521063564,0.988054674378913,0.9887231033988647,20,0.95
-10.0,1,420.11464011744977,481.48931338248985,57.13080946290897,68.88383583082347,0.9948888888888888,0.8280555555555555,0.9876666666666667,0.6252013888888889,0.8137986111111111,0.7194999999999999,12976.65,3142.2302059862022,418.76376531266,421.46551492223955,476.66225749806864,486.31636926691107,68.70093115322675,69.0667405084202,0.9944970871681789,0.9952806906095988,20,0.95
-10.0,2,616.3842789743663,455.10350694560964,60.366243797788954,105.01317232640729,0.9960000000000001,0.8630833333333332,0.9876666666666667,0.6442916666666667,0.8137986111111111,0.7290451388888889,12976.65,4877.158910386335,614.8262753787251,617.9422825700076,451.1109618300079,459.09605206121137,104.89392068604548,105.1324239667691,0.9954966595857228,0.9965033404142775,20,0.95
-10.0,3,876.2772779476052,475.3642568269439,189.69236372053334,215.06632814840708,0.9985555555555556,0.9985555555555556,0.9876666666666667,0.8011597222222221,0.8137986111111111,0.8074791666666666,12976.65,6637.606566093779,875.3364678333083,877.218088061902,471.99191643090313,478.7365972229847,208.05946543585802,222.07319086095615,0.9983406663277293,0.998770444783382,20,0.95
0.0,0,228.51051324977917,312.82167585794616,57.777924166627166,89.76881136211475,0.9879722222222224,0.873861111111111,0.9875277777777779,0.47922916666666665,0.8127430555555556,0.6459861111111111,12976.65,2631.223278498707,227.45515117201091,229.56587532754742,308.7150758364858,316.9282758794065,89.6198149977249,89.91780772650459,0.9875030499943203,0.9884413944501245,20,0.95
0.0,1,212.97406994220606,143.85222413498366,46.796786880433494,63.733954383957574,0.9956111111111111,0.6714166666666667,0.9875277777777779,0.3324444444444445,0.8127430555555556,0.57259375,12976.65,5331.381122758726,211.83190844886576,214.11623143554635,142.32919771564195,145.37525055432536,63.593017932645466,63.87489083526968,0.9951938567476086,0.9960283654746136,20,0.95
0.0,2,288.14290107650237,118.06640024924823,55.55173773541215,95.15401061633057,0.9969444444444445,0.7141944444444445,0.9875277777777779,0.3989027777777778,0.8127430555555556,0.6058229166666667,12976.65,8787.669837585116,286.8036560233722,289.48214612963255,117.0177633785062,119.11503711999026,94.29472701823215,96.01329421442898,0.9965781603878102,0.9973107285010788,20,0.95
0.0,3,543.486307632513,131.5830902057458,189.69236372053334,215.06632814840708,0.9985555555555556,0.9985555555555556,0.9875277777777779,0.52125,0.8127430555555556,0.6669965277777777,12976.65,14872.325463202267,542.4061790247522,544.5664362402738,130.62896622582036,132.53721418567125,208.05946543585802,222.07319086095615,0.9983406663277293,0.998770444783382,20,0.95
10.0,0,153.33503774253575,189.21688342978385,39.767758480468714,44.32458601440331,0.988472222222222,0.04494444444444445,0.988472222222222,0.011291666666666667,0.9711666666666667,0.4912291666666667,12976.65,2917.055003268005,150.95388549735412,155.71618998771737,186.75165678212718,191.6821100774405,43.37234021544723,45.27683181335939,0.9881887748701021,0.9887556695743418,20,0.95
10.0,1,138.55541490200682,104.93625637878515,50.74947052183483,59.104803854524086,0.9958333333333333,0.7821388888888889,0.988472222222222,0.31818749999999996,0.9711666666666667,0.6446770833333334,12976.65,4754.031683350508,138.45200705796222,138.6588227460514,104.34820440456808,105.52430835300221,58.94372116213934,59.26588654690883,0.9954503915842629,0.9962162750824038,20,0.95
10.0,2,144.69739929432666,58.16011093450302,62.957051075394496,84.85209070215785,0.9969444444444445,0.8386111111111111,0.988472222222222,0.4330972222222222,0.9711666666666667,0.7021319444444444,12976.65,8957.192908313335,144.5313695359564,144.86342905269692,57.91526621537094,58.40495565363509,84.82859848687553,84.87558291744017,0.9965781603878102,0.9973107285010788,20,0.95
10.0,3,154.85376032558113,39.179785309719264,189.69236372053334,215.06632814840708,0.9985555555555556,0.9985555555555556,0.988472222222222,0.49844444444444436,0.9711666666666667,0.7348055555555557,12976.65,14228.666315702625,154.5824453729566,155.12507527820566,39.09716182346471,39.26240879597382,208.05946543585802,222.07319086095615,0.9983406663277293,0.998770444783382,20,0.95
20.0,0,135.96407633831353,198.8939913330066,39.767758318901535,43.30958902724977,0.988472222222222,0.003944444444444444,0.988472222222222,0.000986111111111111,0.9746041666666667,0.48779513888888887,12976.65,2461.440257036152,135.49656309267095,136.4315895839561,197.7819508698077,200.0060317962055,43.104811662951704,43.51436639154784,0.9881887748701021,0.9887556695743418,20,0.95
20.0,1,135.170302205023,104.87212881439265,50.914826732377506,58.61924856955375,0.9958333333333333,0.7760555555555556,0.988472222222222,0.3111180555555556,0.9746041666666667,0.6428611111111111,12976.65,4640.679908772539,135.09970133641718,135.24090307362883,104.31018770362728,105.43406992515803,58.50298314506482,58.73551399404268,0.9954503915842629,0.9962162750824038,20,0.95
20.0,2,138.38682011341083,55.77416983692517,63.77264777711317,83.7294668936603,0.9969444444444445,0.8467222222222223,0.988472222222222,0.43502083333333336,0.9746041666666667,0.7048125,12976.65,8933.335070277779,138.30557586219965,138.46806436462202,55.500453105770575,56.04788656807976,83.0508808209442,84.4080529663764,0.9965781603878102,0.9973107285010788,20,0.95
20.0,3,140.51882463090493,35.67892945764338,189.69236372053334,215.06632814840708,0.9985555555555556,0.9985555555555556,0.988472222222222,0.49844444444444436,0.9746041666666667,0.7365243055555555,12976.65,14178.365695616405,140.39881765503108,140.63883160677878,35.636590758501804,35.72126815678495,208.05946543585802,222.07319086095615,0.9983406663277293,0.998770444783382,20,0.95
